lamdapeak	 Rpeak
212.438010 0.794769 
212.492010 0.789281 
212.528010 0.769929 
212.582010 0.812011 
212.618010 0.723357 
212.672010 0.828243 
212.708010 0.633676 
212.762010 0.834839 
212.816010 0.642785 
212.852010 0.827337 
212.906010 0.754001 
212.942010 0.795672 
212.996010 0.812997 
213.032010 0.711921 
213.086010 0.836079 
213.140010 0.643210 
213.176010 0.826660 
213.230010 0.784105 
213.266010 0.764785 
213.320010 0.834059 
213.374010 0.614845 
213.410010 0.829596 
213.464010 0.792578 
213.500010 0.748236 
213.554010 0.839224 
213.608010 0.706928 
213.644010 0.810004 
213.698010 0.827870 
213.734010 0.620515 
213.788010 0.831653 
213.842010 0.810118 
213.878010 0.699955 
213.932010 0.838872 
213.986010 0.797833 
214.022010 0.726635 
214.076010 0.840840 
214.130010 0.799087 
214.166010 0.720226 
214.220010 0.839695 
214.274010 0.813517 
214.310010 0.675681 
214.364010 0.832004 
214.418010 0.832708 
214.472010 0.691326 
214.508010 0.806740 
214.562010 0.845234 
214.616010 0.785452 
214.652010 0.732660 
214.706010 0.837813 
214.760010 0.836735 
214.814010 0.735533 
214.850010 0.780262 
214.904010 0.844775 
214.958010 0.832266 
215.012010 0.727941 
215.048010 0.781638 
215.102010 0.844054 
215.156010 0.840329 
215.210010 0.771047 
215.246010 0.737700 
215.300010 0.830312 
215.354010 0.850076 
215.408010 0.825451 
215.462010 0.734742 
215.498010 0.767987 
215.552010 0.835294 
215.606010 0.851550 
215.660010 0.834940 
215.714010 0.776283 
215.750010 0.714847 
215.804010 0.808941 
215.858010 0.845332 
215.912010 0.852891 
215.966010 0.838791 
216.020010 0.798747 
216.074010 0.716203 
216.110010 0.767676 
216.164010 0.821670 
216.218010 0.846674 
216.272010 0.855013 
216.326010 0.851353 
216.380010 0.836566 
216.434010 0.809000 
216.488010 0.764681 
216.524010 0.706065 
216.578010 0.769037 
216.632010 0.807115 
216.686010 0.830491 
216.740010 0.844729 
216.794010 0.852981 
216.848010 0.857131 
216.902010 0.858386 
216.956010 0.857587 
217.010010 0.855379 
217.064010 0.852299 
217.118010 0.848831 
217.172010 0.845414 
217.226010 0.842442 
217.280010 0.840247 
217.334010 0.839075 
217.388010 0.839068 
217.442010 0.840250 
217.496010 0.842524 
217.550010 0.845686 
217.604010 0.849440 
217.658010 0.853426 
217.712010 0.857239 
217.766010 0.860444 
217.820010 0.862570 
217.874010 0.863087 
217.928010 0.861348 
217.982010 0.856482 
218.036010 0.847199 
218.090010 0.831440 
218.144010 0.805702 
218.198010 0.763724 
218.270010 0.783322 
218.324010 0.823648 
218.378010 0.848799 
218.432010 0.862403 
218.486010 0.865996 
218.540010 0.858904 
218.594010 0.837223 
218.648010 0.790670 
218.720010 0.797241 
218.774010 0.844211 
218.828010 0.864763 
218.882010 0.866298 
218.936010 0.847281 
218.990010 0.793709 
219.062010 0.818665 
219.116010 0.859716 
219.170010 0.868967 
219.224010 0.850340 
219.278010 0.784809 
219.350010 0.839182 
219.404010 0.868812 
219.458010 0.862044 
219.512010 0.808061 
219.584010 0.837107 
219.638010 0.870337 
219.692010 0.858519 
219.746010 0.781083 
219.818010 0.857594 
219.872010 0.871024 
219.926010 0.827908 
219.998010 0.842218 
220.052010 0.873177 
220.106010 0.841661 
220.178010 0.838156 
220.232010 0.873950 
220.286010 0.838029 
220.358010 0.849470 
220.412010 0.873501 
220.466010 0.812235 
220.538010 0.867061 
220.592010 0.863631 
220.664010 0.830578 
220.718010 0.875944 
220.772010 0.820100 
220.844010 0.871115 
220.898010 0.855537 
220.970010 0.857094 
221.024010 0.870067 
221.096010 0.839560 
221.150010 0.875705 
221.222010 0.824743 
