lamdapeak	 Rpeak
837.640010 0.723879 
837.850010 0.719328 
838.030010 0.719217 
838.240010 0.723910 
838.450010 0.717479 
838.630010 0.720560 
838.840010 0.723739 
839.050010 0.716418 
839.230010 0.721058 
839.440010 0.723667 
839.650010 0.716384 
839.830010 0.720880 
840.040010 0.723778 
840.250010 0.717383 
840.430010 0.719966 
840.640010 0.723937 
840.850010 0.719188 
841.030010 0.718030 
841.240010 0.723792 
841.450010 0.721349 
841.630010 0.714543 
841.840010 0.722778 
842.050010 0.723215 
842.260010 0.716171 
842.440010 0.720094 
842.650010 0.723940 
842.860010 0.720829 
843.040010 0.714666 
843.250010 0.722465 
843.460010 0.723628 
843.670010 0.718494 
843.850010 0.717449 
844.060010 0.723277 
844.270010 0.723182 
844.480010 0.717396 
844.660010 0.718178 
844.870010 0.723366 
845.080010 0.723238 
845.290010 0.718009 
845.470010 0.717179 
845.680010 0.722851 
845.890010 0.723727 
846.100010 0.720066 
846.280010 0.714024 
846.490010 0.721145 
846.700010 0.723889 
846.910010 0.722590 
847.120010 0.717383 
847.300010 0.716927 
847.510010 0.722274 
847.720010 0.723947 
847.930010 0.722196 
848.140010 0.717131 
848.320010 0.716673 
848.530010 0.721843 
848.740010 0.723890 
848.950010 0.723053 
849.160010 0.719466 
849.370010 0.713178 
849.550010 0.719339 
849.760010 0.722866 
849.970010 0.723946 
850.180010 0.722756 
850.390010 0.719408 
850.600010 0.713963 
850.780010 0.718277 
850.990010 0.721976 
851.200010 0.723739 
851.410010 0.723731 
851.620010 0.722078 
851.830010 0.718870 
852.040010 0.714173 
852.220010 0.717455 
852.430010 0.720977 
852.640010 0.723087 
852.850010 0.723923 
853.060010 0.723601 
853.270010 0.722216 
853.480010 0.719851 
853.690010 0.716574 
853.870010 0.714264 
854.080010 0.717905 
854.290010 0.720588 
854.500010 0.722425 
854.710010 0.723512 
854.920010 0.723936 
855.130010 0.723772 
855.340010 0.723089 
855.550010 0.721951 
855.760010 0.720417 
855.970010 0.718542 
856.180010 0.716379 
856.390010 0.713978 
856.570010 0.715429 
856.780010 0.717417 
856.990010 0.719035 
857.200010 0.720335 
857.410010 0.721361 
857.620010 0.722155 
857.830010 0.722756 
858.040010 0.723196 
858.250010 0.723506 
858.460010 0.723713 
858.670010 0.723842 
858.880010 0.723912 
859.090010 0.723942 
859.300010 0.723947 
859.510010 0.723939 
859.720010 0.723927 
859.930010 0.723919 
860.140010 0.723917 
860.350010 0.723922 
860.560010 0.723932 
860.770010 0.723943 
860.980010 0.723947 
861.190010 0.723934 
861.400010 0.723890 
861.610010 0.723799 
861.820010 0.723643 
862.030010 0.723399 
862.240010 0.723044 
862.450010 0.722549 
862.660010 0.721884 
862.870010 0.721014 
863.080010 0.719901 
863.290010 0.718504 
863.500010 0.716776 
863.710010 0.714665 
863.950010 0.715474 
864.160010 0.717716 
864.370010 0.719694 
864.580010 0.721358 
864.790010 0.722655 
865.000010 0.723533 
865.210010 0.723930 
865.420010 0.723785 
865.630010 0.723028 
865.840010 0.721581 
866.050010 0.719359 
866.260010 0.716264 
866.500010 0.715639 
866.710010 0.719084 
866.920010 0.721660 
867.130010 0.723303 
867.340010 0.723942 
867.550010 0.723492 
867.760010 0.721850 
867.970010 0.718895 
868.180010 0.714478 
868.420010 0.718409 
868.630010 0.721739 
868.840010 0.723582 
869.050010 0.723860 
869.260010 0.722463 
869.470010 0.719247 
869.710010 0.714257 
869.920010 0.719511 
870.130010 0.722758 
870.340010 0.723944 
870.550010 0.722968 
870.760010 0.719671 
871.000010 0.714563 
871.210010 0.720232 
871.420010 0.723332 
871.630010 0.723809 
871.840010 0.721532 
872.050010 0.716276 
872.290010 0.719063 
872.500010 0.723031 
872.710010 0.723853 
872.920010 0.721399 
873.130010 0.715410 
873.370010 0.720199 
873.580010 0.723612 
873.790010 0.723320 
874.000010 0.719138 
874.240010 0.717382 
874.450010 0.722711 
874.660010 0.723828 
874.870010 0.720604 
875.110010 0.715936 
875.320010 0.722284 
875.530010 0.723883 
875.740010 0.720628 
875.980010 0.716452 
876.190010 0.722708 
876.400010 0.723682 
876.610010 0.719230 
876.850010 0.718720 
877.060010 0.723606 
877.270010 0.722673 
877.480010 0.715638 
877.720010 0.721746 
877.930010 0.723860 
878.140010 0.719537 
878.380010 0.719170 
878.590010 0.723835 
878.800010 0.721614 
879.040010 0.716720 
879.250010 0.723360 
879.460010 0.722603 
879.700010 0.715016 
879.910010 0.722954 
880.120010 0.722961 
880.330010 0.714788 
880.570010 0.722895 
880.780010 0.722892 
881.020010 0.715099 
881.230010 0.723215 
881.440010 0.722356 
881.680010 0.716863 
881.890010 0.723712 
882.100010 0.721068 
882.340010 0.719332 
882.550010 0.723941 
882.760010 0.718492 
883.000010 0.721879 
883.210010 0.723226 
883.450010 0.715629 
883.660010 0.723662 
883.870010 0.720641 
884.110010 0.720594 
884.320010 0.723629 
884.530010 0.714947 
884.770010 0.723597 
884.980010 0.720463 
885.220010 0.721187 
885.430010 0.723244 
885.670010 0.716932 
885.880010 0.723939 
886.090010 0.717803 
886.330010 0.723075 
886.540010 0.721155 
886.780010 0.721102 
886.990010 0.723024 
887.230010 0.718411 
887.440010 0.723829 
887.680010 0.715351 
887.890010 0.723915 
888.100010 0.717278 
888.340010 0.723569 
888.550010 0.719180 
888.790010 0.723025 
889.000010 0.720421 
889.240010 0.722470 
889.450010 0.721179 
889.690010 0.722043 
889.900010 0.721572 
890.140010 0.721832 
