lamdapeak	 Rpeak
458.230010 0.691789 
458.410010 0.701112 
458.590010 0.707819 
458.770010 0.712562 
458.950010 0.715839 
459.130010 0.718033 
459.310010 0.719433 
459.490010 0.720244 
459.670010 0.720599 
459.850010 0.720559 
460.030010 0.720117 
460.210010 0.719198 
460.390010 0.717659 
460.570010 0.715280 
460.750010 0.711760 
460.930010 0.706704 
461.110010 0.699598 
461.290010 0.689774 
461.470010 0.676353 
461.650010 0.658165 
461.830010 0.633625 
462.010010 0.600570 
462.280010 0.600356 
462.460010 0.639384 
462.640010 0.670915 
462.820010 0.695084 
463.000010 0.712034 
463.180010 0.721710 
463.360010 0.723667 
463.540010 0.716810 
463.720010 0.699006 
463.900010 0.666448 
464.080010 0.612637 
464.350010 0.635302 
464.530010 0.684555 
464.710010 0.713019 
464.890010 0.723798 
465.070010 0.717106 
465.250010 0.689522 
465.430010 0.632138 
465.700010 0.643670 
465.880010 0.698478 
466.060010 0.722008 
466.240010 0.718842 
466.420010 0.685497 
466.600010 0.607384 
466.870010 0.679016 
467.050010 0.718371 
467.230010 0.720546 
467.410010 0.683572 
467.680010 0.617200 
467.860010 0.698447 
468.040010 0.723859 
468.220010 0.703508 
468.400010 0.622388 
468.670010 0.691745 
468.850010 0.723762 
469.030010 0.700419 
469.300010 0.615931 
469.480010 0.706646 
469.660010 0.721902 
469.840010 0.669251 
470.110010 0.677241 
470.290010 0.723469 
470.470010 0.694651 
470.740010 0.655049 
470.920010 0.721323 
471.100010 0.701054 
471.370010 0.653563 
471.550010 0.722114 
471.730010 0.694429 
472.000010 0.673616 
472.180010 0.723938 
472.360010 0.668768 
472.630010 0.702978 
472.810010 0.716408 
473.080010 0.641232 
473.260010 0.722902 
473.440010 0.677597 
473.710010 0.705947 
473.890010 0.710514 
474.160010 0.674535 
474.340010 0.722244 
474.610010 0.636539 
474.790010 0.723772 
474.970010 0.652602 
475.240010 0.721537 
475.420010 0.669210 
475.690010 0.719549 
475.870010 0.674240 
476.140010 0.719755 
476.320010 0.669547 
476.590010 0.721971 
476.770010 0.653466 
477.040010 0.723914 
477.310010 0.650345 
477.490010 0.721299 
477.760010 0.686724 
477.940010 0.707351 
478.210010 0.713757 
478.390010 0.670382 
478.660010 0.723924 
478.930010 0.678623 
479.110010 0.707041 
479.380010 0.718954 
479.650010 0.645384 
479.830010 0.717151 
480.100010 0.713969 
480.280010 0.651859 
480.550010 0.717088 
480.820010 0.717267 
481.090010 0.660528 
481.270010 0.706791 
481.540010 0.723647 
481.810010 0.698052 
481.990010 0.669940 
482.260010 0.715250 
482.530010 0.723041 
482.800010 0.701646 
482.980010 0.654544 
483.250010 0.702800 
483.520010 0.722051 
483.790010 0.721513 
484.060010 0.704898 
484.330010 0.673064 
484.510010 0.679354 
484.780010 0.705512 
485.050010 0.718948 
485.320010 0.723762 
485.590010 0.722589 
485.860010 0.717311 
486.130010 0.709442 
486.400010 0.700318 
486.670010 0.691171 
486.940010 0.683120 
487.210010 0.677108 
487.480010 0.673831 
487.750010 0.673664 
488.020010 0.676620 
488.290010 0.682354 
488.560010 0.690198 
488.830010 0.699234 
489.100010 0.708374 
489.370010 0.716418 
489.640010 0.722077 
489.910010 0.723912 
490.180010 0.720175 
490.450010 0.708476 
490.720010 0.685175 
491.080010 0.689990 
491.350010 0.714386 
491.620010 0.723865 
491.890010 0.716658 
492.160010 0.687471 
492.520010 0.703343 
492.790010 0.723231 
493.060010 0.715091 
493.420010 0.678123 
493.690010 0.718812 
493.960010 0.719174 
494.320010 0.679135 
494.590010 0.721510 
494.860010 0.711387 
495.220010 0.705111 
495.490010 0.722419 
495.850010 0.686043 
496.120010 0.723947 
496.390010 0.683777 
496.750010 0.723889 
497.110010 0.681609 
497.380010 0.723653 
497.740010 0.698777 
498.010010 0.718432 
498.370010 0.717454 
498.640010 0.696186 
499.000010 0.723242 
499.360010 0.713963 
499.630010 0.695318 
499.990010 0.720648 
500.350010 0.722344 
500.710010 0.707303 
500.980010 0.695023 
501.340010 0.714480 
501.700010 0.722541 
502.060010 0.723819 
502.420010 0.721432 
502.780010 0.717694 
